result,Ground Truth (Target),SVM ที่ใช้ rbf เป็น kernel
1,0,0
2,1,1
3,1,1
4,0,0
5,1,1
6,0,0
7,1,1
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,1,1
14,1,1
15,1,1
16,0,0
17,1,1
18,0,0
19,0,0
20,0,0
21,1,1
22,1,1
23,1,1
24,0,1
25,0,0
26,1,1
27,1,1
28,0,0
29,0,0
30,1,1
31,1,1
32,1,1
33,0,0
34,0,1
35,0,0
36,1,1
37,1,1
38,1,1
39,1,1
40,1,1
41,1,0
42,0,0
43,1,1
44,0,0
45,1,0
46,0,1
47,0,1
48,1,1
49,1,1
50,1,1
51,0,1
52,0,0
53,1,1
54,1,1
55,1,1
56,0,0
57,1,1
58,1,1
59,0,0
60,1,1
61,1,1
62,0,0
63,0,0
64,1,1
65,0,0
66,0,0
67,1,1
68,0,0
69,0,0
70,0,0
71,0,0
72,1,1
73,1,1
74,0,0
75,1,1
76,0,0
77,0,0
78,1,1
79,1,1
80,0,0
81,1,1
82,1,1
83,1,1
84,1,1
85,0,0
86,0,0
87,1,1
88,0,0
89,0,0
90,1,1
91,0,0
92,1,1
93,1,1
94,1,1
95,1,1
96,0,1
97,1,1
98,1,1
99,1,0
100,1,1
101,1,1
102,1,1
103,1,1
104,0,0
105,1,1
106,1,1
107,1,1
108,0,0
109,1,1
110,0,0
111,0,0
112,1,1
113,1,1
114,1,1
