result,Ground Truth (Target),SVM ที่ใช้ rbf เป็น kernel
1,1,1
2,6,6
3,7,7
4,9,9
5,9,9
6,4,4
7,6,6
8,5,5
9,2,2
10,3,3
11,7,7
12,9,9
13,4,4
14,7,7
15,2,2
16,6,6
17,5,5
18,8,8
19,9,9
20,2,2
21,1,1
22,3,3
23,7,7
24,3,3
25,0,0
26,4,4
27,2,2
28,2,2
29,9,9
30,3,3
31,5,5
32,0,0
33,9,9
34,6,6
35,2,2
36,2,2
37,7,7
38,2,2
39,6,6
40,5,5
41,4,4
42,6,6
43,7,7
44,7,7
45,1,1
46,3,3
47,1,1
48,5,5
49,9,9
50,6,6
51,8,8
52,9,9
53,0,0
54,6,6
55,1,1
56,2,2
57,5,5
58,2,2
59,1,1
60,7,7
61,4,4
62,3,3
63,4,4
64,9,9
65,7,7
66,7,7
67,7,7
68,0,0
69,5,5
70,9,9
71,6,6
72,4,4
73,7,7
74,2,2
75,6,6
76,0,0
77,3,3
78,6,6
79,2,2
80,7,7
81,3,3
82,6,6
83,0,0
84,4,4
85,5,5
86,4,4
87,3,3
88,5,5
89,8,8
90,8,8
91,5,5
92,7,7
93,8,8
94,3,3
95,2,2
96,3,3
97,5,5
98,8,8
99,4,4
100,3,3
101,9,9
102,0,0
103,5,5
104,8,8
105,5,5
106,3,3
107,9,9
108,5,5
109,3,3
110,7,7
111,5,5
112,9,9
113,4,4
114,6,6
115,6,6
116,7,7
117,9,9
118,8,8
119,1,1
120,4,4
121,2,2
122,7,7
123,8,2
124,1,1
125,5,5
126,6,6
127,5,5
128,6,6
129,4,4
130,1,1
131,0,0
132,2,2
133,0,0
134,3,3
135,9,9
136,8,8
137,3,3
138,3,3
139,3,3
140,1,1
141,1,1
142,0,0
143,5,5
144,6,6
145,0,0
146,7,7
147,3,3
148,5,5
149,1,1
150,6,6
151,9,9
152,0,0
153,0,0
154,6,6
155,0,0
156,6,6
157,9,9
158,4,4
159,2,2
160,1,1
161,9,9
162,5,5
163,6,6
164,2,2
165,4,4
166,9,9
167,3,3
168,6,6
169,5,5
170,5,5
171,2,2
172,1,1
173,7,7
174,3,3
175,3,3
176,1,1
177,8,8
178,4,4
179,2,2
180,5,5
181,6,6
182,5,5
183,7,7
184,2,2
185,6,6
186,2,2
187,7,7
188,0,0
189,4,4
190,3,3
191,8,8
192,7,7
193,9,9
194,5,5
195,8,8
196,8,8
197,8,8
198,8,8
199,4,4
200,1,1
201,8,8
202,2,2
203,4,4
204,7,7
205,1,1
206,3,3
207,2,2
208,1,1
209,0,0
210,9,9
211,0,0
212,9,9
213,3,3
214,3,3
215,8,8
216,7,7
217,5,5
218,9,9
219,4,4
220,5,5
221,1,1
222,5,5
223,6,6
224,7,7
225,8,8
226,6,6
227,6,6
228,4,4
229,3,8
230,2,2
231,6,6
232,5,5
233,2,2
234,9,9
235,8,8
236,0,0
237,4,4
238,5,5
239,3,5
240,3,3
241,7,7
242,9,9
243,7,7
244,5,5
245,6,6
246,5,5
247,1,1
248,7,7
249,4,4
250,2,2
251,1,1
252,6,6
253,1,1
254,7,7
255,1,1
256,1,1
257,5,5
258,9,9
259,9,9
260,9,9
261,2,2
262,2,2
263,3,3
264,2,2
265,1,1
266,7,7
267,8,8
268,7,7
269,7,7
270,0,0
271,3,3
272,7,7
273,6,6
274,5,5
275,4,4
276,2,2
277,2,2
278,9,9
279,4,4
280,9,9
281,4,4
282,3,3
283,1,1
284,5,5
285,5,5
286,3,3
287,6,6
288,8,8
289,5,5
290,1,1
291,7,7
292,5,5
293,0,0
294,7,7
295,9,9
296,1,1
297,0,0
298,1,1
299,3,3
300,9,5
301,8,8
302,7,7
303,3,3
304,3,3
305,0,0
306,7,7
307,6,6
308,2,2
309,8,8
310,5,5
311,4,4
312,3,3
313,3,3
314,3,3
315,9,9
316,2,2
317,0,0
318,0,0
319,7,7
320,1,1
321,2,2
322,8,8
323,6,6
324,3,3
325,4,4
326,8,8
327,9,9
328,0,0
329,2,2
330,4,4
331,7,7
332,4,4
333,9,8
334,2,2
335,7,7
336,2,2
337,5,5
338,7,7
339,9,9
340,6,6
341,8,8
342,2,2
343,4,4
344,1,1
345,7,7
346,2,2
347,3,3
348,3,3
349,3,3
350,7,7
351,2,2
352,8,8
353,1,1
354,6,6
355,3,3
356,7,7
357,5,5
358,5,5
359,5,5
360,1,1
